Agency,Nov Plan FY28,Prelim FY28,Increase,Nov Plan FY28_num,Prelim FY28_num,Increase_num
Department of Education,"$36,163M","$39,538M","+$3,375M",36163000000,39538000000,3375000000
Department of Social Services,"$12,602M","$15,206M","+$2,604M",12602000000,15206000000,2604000000
Miscellaneous (fringe/citywide),"$16,721M","$19,217M","+$2,496M",16721000000,19217000000,2496000000
Dept. of Homeless Services,"$3,005M","$3,995M",+$990M,3005000000,3995000000,990000000
Citywide Pension,"$11,510M","$11,519M",+$9M,11510000000,11519000000,9000000
Debt Service,"$10,474M","$10,563M",+$89M,10474000000,10563000000,89000000
NYPD,"$6,600M","$6,759M",+$159M,6600000000,6759000000,159000000
Admin. for Children Services,"$3,138M","$3,470M",+$332M,3138000000,3470000000,332000000
DOHMH,"$2,270M","$2,520M",+$250M,2270000000,2520000000,250000000
All agencies total,"$127,924M","$137,533M","+$9,609M",127924000000,137533000000,9609000000
