Agency,Gross Cuts ($M),Restorations ($M),Net ($M),Gross Cuts ($M)_orig,Restorations ($M)_orig,Net ($M)_orig
99C Citywide Savings,-1060000000,0,-1060000000,"-1,060",0,"-1,060"
Pensions (095),-170000000,0,-170000000,-170,0,-170
DOE (040),-117000000,38000000,-79100000,-117,+38,-79
DEP (826),-26000000,200000,-25900000,-26,+0.2,-26
DoITT (858),-17700000,0,-17700000,-18,0,-18
DCAS (856),-15400000,6100000,-9300000,-15,+6,-9
Parks (846),-6000000,100000,-6000000,-6,+0.1,-6
NYPD (056),-3800000,1900000,-1900000,-4,+2,-2
FDNY (057),-104700000,129000000,24400000,-105,+129,+24
DOT (841),-500000,41100000,40600000,-0.5,+41,+41
Law Dept (025),-3000000,49200000,46200000,-3,+49,+46
DFTA (125),-700000,50700000,50000000,-0.7,+51,+50
DYCD (260),-1700000,59700000,58000000,-2,+60,+58
Energy Adj (99P),0,112700000,112700000,0,+113,+113
DHS (071),-8900000,144800000,135900000,-9,+145,+136
Sanitation (827),-2400000,151600000,149200000,-2,+152,+149
ACS (068),-11200000,447700000,436500000,-11,+448,+437
All others,-69000000,198600000,129600000,-69,+199,+130
Total,-1618000000,1431200000,-186800000,"-1,618","+1,431",-187
